Area,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Asia,1926071269.0,1986898523.0,2027051079.0,2126726714.0,2217054399.0,2299738579.0,2313010283.0,2364234539.0,2473617630.0,2626371882.0,2656295063.0,2579433616.0,2802568055.0,2854555455.0,3009283312.0,3048512456.0,3179797696.0,3394221490.0,3340087702.0,3335850783.0,3542773295.0,3766063034.0,3946439778.0,4080317861.0,4064091278.0,4138190893.0,4240290080.0,4389639334.0,4542798285.0,4764275922.0,4856755483.0,5199268928.0,5270235530.0,5321285463.0,5610486082.0,5887400192.0,5944672246.0,6079974519.0,6353176951.0,6405092983.0,6491408356.0,6609039184.0,6765117593.0,6852514839.0,7061416523.0,7314822399.0,7733042033.0,8010785603.0,7907072381.0,8110695176.0,8632846517.0,8860417113.0,9028782877.0,9132420095.0,9238583356.0,9229787460.0,9402917116.0,9561298236.0
Australia,43486664.0,54424996.0,54682746.0,63438027.0,54929633.0,74313857.0,61402953.0,82920906.0,68230532.0,69671904.0,77363196.0,69045476.0,81560916.0,82225941.0,88777205.0,90322137.0,84861964.0,103365641.0,99471015.0,91618391.0,108860599.0,89676474.0,122041854.0,121343944.0,114265394.0,113934020.0,105500910.0,115268784.0,115543261.0,111960057.0,99577083.0,112553587.0,130310607.0,112600754.0,146357969.0,169327298.0,167663028.0,177544660.0,183187961.0,174845339.0,157116743.0,169868627.0,132227606.0,185624633.0,173346271.0,183751907.0,128789793.0,141638234.0,157228634.0,156733492.0,162623089.0,177540431.0,164948890.0,173977293.0,171678616.0,171798413.0,215944752.0,174217108.0
Australia and New Zealand,45507884.0,56457135.0,56863554.0,65896593.0,57370179.0,76723352.0,63854755.0,85997440.0,71594655.0,72638749.0,80511657.0,72588629.0,85119074.0,85236534.0,91909452.0,94007666.0,88592000.0,107090075.0,103096523.0,95287462.0,112626026.0,93738928.0,126230233.0,126293588.0,119482557.0,119314155.0,110782874.0,120073533.0,120157203.0,117293302.0,104817950.0,117989580.0,136134165.0,119428749.0,153262745.0,176364988.0,174603561.0,184185707.0,189971398.0,181990272.0,163993663.0,176842860.0,139055019.0,192526945.0,180335882.0,190442726.0,136003233.0,149208388.0,165081330.0,164353413.0,170296563.0,185560118.0,172883333.0,181964691.0,179496023.0,179784227.0,223424323.0,182083828.0
Austria,17312935.0,16903216.0,19089609.0,19716325.0,14648333.0,19165995.0,19300445.0,20341480.0,19849511.0,18775150.0,18451464.0,18294350.0,19374647.0,19787273.0,20184053.0,20266274.0,19541738.0,19187757.0,18626543.0,21013778.0,20414311.0,23814585.0,19452735.0,21376345.0,20583523.0,18436290.0,18932083.0,20536554.0,20412804.0,20678051.0,20372835.0,18889065.0,19926240.0,19239706.0,20091457.0,20147299.0,21240716.0,21533455.0,21902486.0,19745916.0,20772590.0,21164213.0,18720528.0,22310756.0,21619956.0,19689044.0,20635657.0,23863897.0,22533373.0,20866789.0,24285822.0,20906421.0,20982824.0,25445721.0,20049786.0,23359633.0,20695950.0,19541659.0
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6907156.0,5652466.0,5033131.0,4754091.0,5782481.0,5166643.0,5102839.0,6091314.0,7594910.0,9167992.0,10086735.0,10381316.0,10585684.0,11688919.0,11804837.0,11876161.0,12686313.0,13291008.0,11586559.0,12743042.0,13347652.0,13753544.0,12172572.0,13766347.0,14364245.0,15038949.0,15870491.0
Bahamas,51270.0,53360.0,55920.0,57660.0,59420.0,81305.0,102830.0,93515.0,83220.0,121705.0,73610.0,146965.0,142570.0,149915.0,167290.0,202425.0,181520.0,159997.0,163730.0,158215.0,193100.0,194960.0,151950.0,186650.0,156760.0,144360.0,146000.0,168860.0,196360.0,205948.0,172626.0,151622.0,182842.0,198137.0,176870.0,194646.0,180559.0,203353.0,222259.0,240318.0,267972.0,229170.0,227162.0,239626.0,237862.0,261166.0,277802.0,276274.0,260355.0,301962.0,306314.0,306186.0,308325.0,312218.0,318374.0,318700.0,321438.0,322339.0
Bahrain,41900.0,41734.0,42496.0,42496.0,42616.0,40686.0,41128.0,41498.0,42018.0,42738.0,43298.0,44598.0,44604.0,49478.0,71018.0,92884.0,116846.0,116688.0,115484.0,117770.0,54382.0,45078.0,46246.0,47194.0,51808.0,56242.0,61508.0,61776.0,61234.0,41730.0,44374.0,50472.0,53172.0,60492.0,69342.0,70116.0,69241.0,78139.0,69324.0,68009.0,65341.0,57680.0,59937.0,57142.0,54696.0,79004.0,74825.0,73034.0,73960.0,72948.0,70765.0,71852.0,71633.0,70383.0,69957.0,69719.0,70758.0,70996.0
Bangladesh,57031907.0,54907116.0,62586173.0,63423531.0,66357709.0,66033565.0,74892120.0,74936957.0,77818706.0,74508509.0,68988793.0,65397546.0,71437916.0,70132939.0,77535248.0,72597929.0,78340023.0,80381304.0,79709865.0,84203427.0,83416203.0,87013393.0,89288364.0,89647152.0,92147790.0,92388555.0,91901524.0,92642727.0,100312652.0,101656953.0,104243056.0,104630886.0,103613821.0,98343437.0,102388328.0,107235167.0,108473783.0,112607657.0,126934316.0,135490464.0,131957756.0,134501951.0,137957036.0,133585829.0,148724347.0,151466090.0,159950284.0,172310390.0,172784778.0,183082733.0,187817256.0,188067628.0,192646672.0,196906624.0,199894646.0,197212103.0,210627540.0,215154348.0
Barbados,2860464.0,2983597.0,3479173.0,3057110.0,3571924.0,3218417.0,3765216.0,2842300.0,2622687.0,2976895.0,2534712.0,2186758.0,2131864.0,1954738.0,1741381.0,1882288.0,2143319.0,1848108.0,2157417.0,2471712.0,1984562.0,1664660.0,1470238.0,1670789.0,1627037.0,1857144.0,1424146.0,1438218.0,1162748.0,1255386.0,1216138.0,1098680.0,925411.0,966640.0,778459.0,1129548.0,1191854.0,948890.0,1090953.0,1137187.0,884857.0,877063.0,780405.0,765031.0,927723.0,741605.0,750605.0,659331.0,754402.0,557820.0,611032.0,559298.0,389989.0,362964.0,276333.0,212109.0,304651.0,341721.0
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37769952.0,45454945.0,33952973.0,35535902.0,38962039.0,32578276.0,30975272.0,27988480.0,33916478.0,33186064.0,33471466.0,36954087.0,45536154.0,40842248.0,42819971.0,45303400.0,51246042.0,47322370.0,44800402.0,45494130.0,48568670.0,42096890.0,48390168.0,41685040.0,41578457.0,45634126.0,40513313.0
