Area,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Central African Republic,2499132.0,2418768.0,2418943.0,2394010.0,2692900.0,2446494.0,2614992.0,2727059.0,2876234.0,2944912.0,3044805.0,3235514.0,3384435.0,3438494.0,3401342.0,3452221.0,3494201.0,3471428.0,3547125.0,3523675.0,3535502.0,3509510.0,3310653.0,3118933.0,2973884.0,3246109.0,2920499.0,3131039.0,3132768.0,3188816.0,3187954.0,3209972.0,3294090.0,3314918.0,3453603.0,3705121.0,3962549.0,4118322.0,3954315.0,4036816.0,4111533.0,4062892.0,3963349.0,4098257.0,4200174.0,4247834.0,4408298.0,4481160.0,4618904.0,4651159.0,4830171.0,4869629.0,4770992.0,4413522.0,4536972.0,4651547.0,4723019.0,4822303.0
Central America,99944354.0,107683369.0,113828733.0,131122807.0,145046063.0,152206593.0,154976709.0,158924953.0,159931114.0,168721785.0,171411611.0,172411564.0,179095736.0,182590503.0,193454236.0,186018978.0,195035975.0,213600372.0,205195154.0,215904519.0,221888134.0,223871494.0,224733329.0,231713322.0,237345310.0,248022345.0,253587281.0,241430582.0,247820886.0,256747022.0,257113284.0,271633479.0,271946976.0,273309986.0,295222627.0,312336941.0,317327112.0,329815435.0,323675278.0,318915626.0,338465118.0,330054678.0,349941324.0,364302376.0,359279843.0,373356624.0,389716613.0,392607282.0,385236948.0,395380968.0,381488517.0,414953015.0,445165442.0,457422620.0,454670825.0,475184206.0,469955206.0,490646149.0
Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116600150.0,96331036.0,83308152.0,69455519.0,68264081.0,73677341.0,63919390.0,87089599.0,81727194.0,94883605.0,100015314.0,102306884.0,101800121.0,107291969.0,115402923.0,121265004.0,113288888.0,131567676.0,118243377.0,151812210.0,127726843.0,146897141.0,147740607.0,157352604.0,183153637.0,175861211.0,171783706.0
Chad,2765323.0,2875659.0,3381380.0,3104134.0,2903478.0,2960984.0,2971160.0,3213587.0,3174958.0,2986100.0,2968972.0,2570997.0,2538067.0,2926878.0,3074967.0,3282090.0,3373840.0,3458214.0,3308672.0,3446975.0,3064911.0,3215733.0,3646928.0,3295762.0,4328399.0,3960302.0,3886958.0,4701746.0,4455864.0,4473555.0,5090157.0,5163075.0,4274880.0,5714403.0,5514742.0,5742828.0,6203477.0,7052958.0,6708211.0,6111332.0,7523183.0,6938964.0,7780873.0,6314922.0,9241047.0,8705764.0,8516798.0,8571669.0,7755763.0,13259934.0,8963411.0,14747964.0,12468282.0,12285945.0,11493982.0,13892906.0,12651460.0,13481357.0
Chile,10211804.0,10476313.0,11345599.0,11441760.0,11077039.0,12518423.0,12784053.0,13253380.0,11597261.0,13544966.0,13988038.0,13330121.0,11030422.0,12635776.0,13513547.0,14273806.0,16492998.0,13416301.0,14450032.0,13839288.0,15845691.0,14600820.0,15050938.0,18237800.0,18041244.0,19827195.0,20487967.0,21266039.0,23104702.0,22255165.0,22473222.0,25967764.0,25580896.0,26900830.0,28279150.0,27379979.0,26672824.0,27409127.0,26218990.0,27083848.0,29838763.0,31210189.0,29570661.0,30544083.0,31937210.0,31326828.0,26867958.0,27341569.0,26856105.0,29343512.0,33011241.0,30507994.0,32785951.0,30841940.0,32165331.0,31226134.0,31083803.0,33303138.0
China,643764892.0,677601739.0,700058609.0,740492124.0,815751079.0,879793599.0,886564402.0,877761000.0,893304086.0,969769000.0,992369184.0,964130316.0,1097268677.0,1089196644.0,1113139076.0,1101462404.0,1133248328.0,1240177092.0,1262480355.0,1251178029.0,1284921819.0,1398355815.0,1503949383.0,1597389591.0,1555617711.0,1599718293.0,1666520731.0,1660212254.0,1693220599.0,1826454323.0,1848915663.0,1912632745.0,2002641744.0,2015491150.0,2149917347.0,2313358160.0,2339577167.0,2439490590.0,2485260561.0,2530855776.0,2570278391.0,2681981468.0,2621587137.0,2766584583.0,2822965412.0,2878018928.0,2961964835.0,3140232934.0,3148389055.0,3224400551.0,3360900558.0,3460274909.0,3516683514.0,3550810349.0,3683442916.0,3695597974.0,3736995706.0,3766710085.0
"China, Hong Kong SAR",354477.0,321776.0,278410.0,221892.0,252859.0,373717.0,426986.0,368773.0,389913.0,408169.0,420140.0,389075.0,375049.0,387648.0,357181.0,384455.0,396518.0,356539.0,383255.0,398431.0,376380.0,358533.0,357892.0,338784.0,304780.0,319249.0,290503.0,272668.0,269868.0,232072.0,219113.0,195906.0,183163.0,188964.0,188845.0,165339.0,158702.0,138509.0,120619.0,98589.0,80073.0,78859.0,79456.0,80444.0,80723.0,81940.0,81852.0,82176.0,82033.0,81477.0,82318.0,87526.0,86084.0,84536.0,84876.0,85805.0,86295.0,86937.0
"China, Macao SAR",100.0,70.0,70.0,50.0,60.0,100.0,80.0,70.0,90.0,75.0,70.0,85.0,90.0,90.0,90.0,90.0,90.0,110.0,110.0,120.0,120.0,120.0,130.0,130.0,120.0,120.0,120.0,100.0,100.0,90.0,106.0,120.0,127.0,135.0,141.0,150.0,155.0,160.0,163.0,165.0,173.0,180.0,185.0,189.0,194.0,200.0,210.0,208.0,210.0,210.0,206.0,200.0,210.0,218.0,216.0,216.0,218.0,219.0
"China, Taiwan Province of",33404218.0,30046906.0,28972442.0,33131269.0,39033757.0,38906175.0,36049494.0,39355848.0,36825323.0,35279631.0,38838701.0,36675001.0,38136837.0,41111661.0,37993856.0,40423852.0,44684974.0,37819815.0,40969189.0,39922731.0,37946695.0,37965083.0,35294605.0,34033289.0,34681988.0,31743200.0,31018581.0,33766838.0,33130083.0,30173644.0,28775713.0,29769147.0,28626927.0,28780362.0,28088030.0,27051083.0,26996375.0,24640861.0,25822005.0,24013792.0,21814806.0,22797834.0,21401325.0,19229417.0,17185834.0,18291595.0,16989233.0,17258920.0,17271020.0,17548109.0,18655645.0,17771786.0,17507808.0,18338292.0,17567570.0,17045078.0,18485621.0,19227396.0
"China, mainland",610006096.0,647232987.0,670807688.0,707138913.0,776464403.0,840513607.0,850087843.0,838036309.0,856088760.0,934081123.0,953110272.0,927066155.0,1058756701.0,1047697245.0,1074787949.0,1060654006.0,1088166744.0,1202000627.0,1221127801.0,1210856748.0,1246598624.0,1360032079.0,1468296756.0,1563017386.0,1520630823.0,1567655723.0,1635211525.0,1626172648.0,1659820548.0,1796048516.0,1819920732.0,1882667572.0,1973831527.0,1986521691.0,2121640331.0,2286141587.0,2312421935.0,2414711060.0,2459317774.0,2506743230.0,2548383337.0,2659104595.0,2600106170.0,2747274535.0,2805698661.0,2859645193.0,2944893540.0,3122891630.0,3131035792.0,3206770753.0,3342162388.0,3442415397.0,3499089414.0,3532387305.0,3665790253.0,3678466871.0,3718423573.0,3747395534.0
Colombia,39304573.0,43015838.0,38658926.0,42737683.0,40355809.0,41513316.0,42379792.0,44162234.0,44227078.0,44193504.0,47405115.0,51203801.0,53389911.0,57916870.0,66566009.0,68396347.0,67673557.0,75857279.0,79188853.0,82310462.0,77893425.0,76310662.0,78056580.0,77336381.0,80154064.0,80577169.0,82204920.0,85505148.0,89229815.0,93417067.0,97432551.0,100225047.0,104179207.0,105637367.0,108187692.0,114090036.0,116520198.0,110005523.0,114845905.0,114835030.0,114865671.0,123089762.0,129442863.0,133623892.0,131396419.0,127241187.0,125890492.0,120206117.0,127888700.0,118930863.0,125148862.0,128533833.0,135105144.0,141133646.0,141267185.0,141458513.0,143671347.0,145177498.0
Comoros,313488.0,314643.0,314987.0,323938.0,324306.0,340030.0,341447.0,348162.0,355464.0,349902.0,347352.0,327900.0,372953.0,367230.0,345027.0,352150.0,348889.0,360433.0,371149.0,348460.0,326278.0,334198.0,342279.0,325495.0,333118.0,345011.0,385318.0,391233.0,402683.0,430786.0,453327.0,466452.0,467762.0,448252.0,492822.0,503228.0,498440.0,509815.0,517619.0,518972.0,530538.0,527879.0,541529.0,552216.0,561761.0,581380.0,589261.0,609180.0,612322.0,613249.0,615267.0,613929.0,627484.0,632004.0,641861.0,654172.0,656968.0,664480.0
Congo,1931562.0,2028835.0,2230665.0,2309288.0,2412131.0,2665935.0,3333536.0,3154349.0,3029064.0,2856547.0,2729488.0,2209432.0,2328810.0,2382958.0,2404771.0,2376968.0,2276818.0,2079479.0,2164542.0,2237757.0,2387254.0,2728140.0,2530877.0,2790368.0,3099603.0,2877253.0,2829782.0,3009717.0,2957150.0,2784653.0,2825287.0,2865873.0,2775059.0,3004047.0,3284995.0,3467834.0,3411145.0,3388404.0,3509531.0,3641268.0,3706540.0,3742783.0,4064690.0,4244820.0,4422454.0,4511545.0,4656552.0,4883920.0,5084774.0,5000228.0,5091704.0,5352286.0,5457948.0,5554896.0,5662009.0,5689652.0,5774204.0,5842633.0
Cook Islands,71536.0,69977.0,74020.0,75845.0,80562.0,86239.0,77066.0,88619.0,90914.0,90308.0,92510.0,85378.0,106221.0,97610.0,86745.0,87336.0,80985.0,75274.0,79939.0,76151.0,85941.0,78543.0,64025.0,68001.0,67530.0,59331.0,49885.0,56790.0,48904.0,44159.0,43810.0,41972.0,41460.0,34627.0,34312.0,33626.0,36382.0,40448.0,33744.0,34565.0,31657.0,29901.0,21058.0,17950.0,19059.0,20774.0,19553.0,18586.0,17049.0,16659.0,16030.0,15774.0,16313.0,15577.0,15417.0,15528.0,15299.0,15168.0
Costa Rica,3712392.0,3943318.0,4310601.0,4574953.0,4871434.0,5579100.0,5645775.0,6285719.0,6738519.0,7727760.0,7930990.0,8389278.0,8764260.0,8213931.0,8834808.0,8695894.0,9158591.0,9520256.0,9608848.0,9420421.0,9568638.0,9262239.0,9854933.0,10651537.0,10335061.0,10361657.0,10209236.0,10647159.0,11167882.0,12570721.0,13176078.0,14194747.0,14521713.0,15055839.0,16211582.0,16306808.0,17952000.0,18473425.0,18648772.0,19128122.0,19801111.0,18584587.0,20249814.0,20522452.0,20819989.0,24260112.0,23388674.0,22060246.0,22666561.0,22502871.0,22879117.0,24623707.0,26154757.0,25459241.0,24596934.0,25827515.0,26673388.0,27373548.0
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8735739.0,9697471.0,9551816.0,10383670.0,10918902.0,11703145.0,13049560.0,12413788.0,8846972.0,11222427.0,12589103.0,8313809.0,11781415.0,12223353.0,13138930.0,12050193.0,14825935.0,14041598.0,12839811.0,12411707.0,10729375.0,13072397.0,13106390.0,12020181.0,14920333.0,12290110.0,13227344.0
Cuba,115005432.0,76903790.0,66367632.0,77671358.0,104546433.0,78908078.0,105720163.0,94855578.0,90941642.0,169279995.0,112986639.0,97433603.0,104690931.0,110821651.0,109691128.0,112048719.0,125999436.0,145086343.0,160242795.0,134113667.0,139987068.0,152800499.0,146232161.0,162009949.0,142545941.0,144764620.0,149259051.0,156005658.0,169838954.0,171569187.0,166947350.0,141104838.0,93842842.0,92634964.0,74446769.0,91559370.0,86950983.0,74692377.0,80010826.0,88386727.0,81244287.0,86488976.0,65228890.0,69103122.0,41958493.0,36716524.0,39357343.0,45782115.0,44901942.0,36974627.0,38110476.0,43910667.0,47012991.0,49738057.0,53291306.0,51467811.0,54968149.0,53795330.0
Cyprus,1199560.0,1371246.0,1397134.0,1277230.0,1753713.0,1588521.0,1983012.0,1947484.0,2089194.0,1953805.0,2406232.0,2226114.0,1815236.0,2047566.0,1309762.0,1511607.0,1547841.0,1453162.0,1580632.0,1611529.0,1646755.0,1648700.0,1628207.0,1744750.0,1648769.0,1559704.0,1693889.0,1816152.0,1972325.0,1867358.0,1527906.0,1913104.0,1978231.0,1578567.0,1952481.0,1830833.0,1280077.0,1446954.0,1689029.0,1364483.0,1474793.0,1596088.0,1548526.0,1565395.0,1393299.0,1301444.0,1254205.0,979664.0,1021730.0,1024567.0,1154916.0,1036541.0,953029.0,935377.0,1071161.0,860679.0,857607.0,861782.0
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30404728.0,26456083.0,27903290.0,29770606.0,28348627.0,27920693.0,27646535.0,26583200.0,29151107.0,26714057.0,22843725.0,31116455.0,28401881.0,24710203.0,26235986.0,28726304.0,28127379.0,25515009.0,30546513.0,26769627.0,29138214.0,33783312.0,29471911.0,32400039.0,30055245.0,28267292.0
Czechoslovakia,40675239.0,37395752.0,44675743.0,45139217.0,32841891.0,43647140.0,44955659.0,48512063.0,42156490.0,41593384.0,42091606.0,45036201.0,45899287.0,50109542.0,45563717.0,40983387.0,49164607.0,49028803.0,45224248.0,46034533.0,44399237.0,49888772.0,46457777.0,52909489.0,51143838.0,48695260.0,48605317.0,48369547.0,50042321.0,47663299.0,47168441.0,42456440.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,6759113.0,7748088.0,7802345.0,8218674.0,8357606.0,8758394.0,9121554.0,9545225.0,9917181.0,10366992.0,11041146.0,11235181.0,12018314.0,13441330.0,16015112.0,16083755.0,15745183.0,16700828.0,17832800.0,19797247.0,20615117.0,21450731.0,20669456.0,21713746.0,21668807.0,22575315.0,23227456.0,23403161.0,23868275.0,25240838.0,25848976.0,26519941.0,26587741.0,27304313.0,27716284.0,28847638.0,29588037.0,30372613.0,31761897.0,32336261.0,31966692.0,32586723.0,31704739.0,32855776.0,33910784.0,35048372.0,34826806.0,36478184.0,34915577.0,37135991.0,37553708.0,40767215.0,42358388.0,47573645.0,51994545.0,50878627.0,54531963.0,53934584.0
Democratic People's Republic of Korea,12878502.0,13376465.0,14268657.0,14793258.0,13706134.0,14662875.0,14099775.0,13996370.0,15822197.0,15940092.0,16842751.0,16699780.0,18173599.0,19303769.0,20634237.0,21599550.0,22696419.0,23250951.0,23940886.0,23406498.0,25188427.0,23107202.0,23898000.0,25623697.0,26099653.0,27690166.0,27981244.0,28147333.0,29287551.0,29624557.0,36206670.0,35247624.0,34282208.0,30409345.0,21381035.0,19125111.0,20605783.0,25428061.0,25127651.0,23600579.0,26630834.0,26861464.0,27483101.0,27902591.0,28512238.0,28211061.0,25735251.0,27516483.0,27058604.0,27093302.0,27270716.0,28177610.0,28916140.0,28369174.0,29372400.0,30524694.0,27504102.0,27596753.0
Democratic Republic of the Congo,29039167.0,29503064.0,29461511.0,29536872.0,29695519.0,29739736.0,31020024.0,32650094.0,33304711.0,34321673.0,34352497.0,35077928.0,36136526.0,37188039.0,38168890.0,38433756.0,38913405.0,37546914.0,39673554.0,41521635.0,42154394.0,44535114.0,45716283.0,47436258.0,48956509.0,50291203.0,51954344.0,53660525.0,55385434.0,58381403.0,60240990.0,61629634.0,60860844.0,61936103.0,53117885.0,53088143.0,51865571.0,53229288.0,51788116.0,50685828.0,49357270.0,48321416.0,48525799.0,48672601.0,48812936.0,49005527.0,49621409.0,50105243.0,50485709.0,54284154.0,54815483.0,94091500.0,98105774.0,102996038.0,103716637.0,101592003.0,95191123.0,93193798.0
Denmark,17096603.0,17735564.0,19800127.0,22133563.0,18964865.0,19117160.0,19294928.0,20645806.0,19913209.0,19491597.0,20649906.0,20858115.0,20898409.0,22924662.0,21286366.0,20001558.0,24888912.0,24012781.0,24562328.0,23240834.0,24654876.0,27557762.0,21510933.0,30836932.0,28699419.0,28342925.0,24948839.0,28652875.0,30347546.0,33435703.0,31545704.0,25992085.0,30070687.0,27091368.0,29550279.0,29654291.0,31131471.0,30987173.0,29896413.0,30535884.0,29656117.0,28883802.0,28583794.0,29081101.0,29025070.0,26617058.0,26638093.0,28547813.0,30035443.0,27755264.0,28631563.0,29986609.0,28927361.0,31296127.0,30298975.0,29300381.0,32446208.0,24226286.0
Djibouti,2122.0,2122.0,2122.0,2344.0,2944.0,3141.0,3341.0,3543.0,3545.0,3767.0,3767.0,4169.0,4394.0,4804.0,4814.0,5244.0,5650.0,6252.0,9144.0,33526.0,34470.0,36894.0,37018.0,41696.0,43012.0,47071.0,47017.0,42614.0,46389.0,51641.0,50949.0,53233.0,53378.0,54933.0,56182.0,56924.0,59083.0,59925.0,61922.0,63289.0,64949.0,66967.0,64829.0,67638.0,67762.0,65215.0,70296.0,73003.0,75626.0,77020.0,79871.0,90412.0,84681.0,86261.0,88913.0,91816.0,93886.0,95995.0
Dominica,186468.0,180884.0,184820.0,211140.0,236988.0,233044.0,228795.0,245975.0,255100.0,225818.0,217917.0,216220.0,209562.0,224088.0,234212.0,265117.0,262637.0,286618.0,218553.0,182480.0,225091.0,240119.0,244368.0,251264.0,260514.0,308443.0,343042.0,386864.0,339735.0,327467.0,313219.0,307590.0,309484.0,273202.0,250067.0,303810.0,298854.0,276575.0,269567.0,269304.0,245985.0,242801.0,216512.0,226895.0,226317.0,236312.0,243105.0,239894.0,248078.0,239048.0,239449.0,245925.0,245896.0,245124.0,249502.0,252019.0,252642.0,253882.0
Dominican Republic,19424723.0,20057969.0,18638229.0,19487964.0,15028929.0,17297819.0,17920352.0,15309248.0,21044580.0,21882168.0,24662922.0,24474709.0,25149457.0,25274344.0,23533284.0,27167816.0,27495002.0,27636248.0,25711604.0,23495067.0,24664832.0,29011322.0,28824044.0,26619452.0,22781949.0,21591960.0,23369689.0,22952326.0,22323622.0,18422133.0,18937362.0,19766976.0,20489092.0,18017111.0,17001233.0,18335509.0,19605470.0,16218442.0,15655399.0,16172076.0,17685482.0,18506484.0,18607262.0,18746681.0,17688725.0,18408190.0,18769921.0,17627004.0,18679804.0,19787245.0,21111619.0,21779587.0,22683556.0,23459592.0,22552820.0,22050340.0,25356701.0,25764650.0
Eastern Africa,110866559.0,113892268.0,118907970.0,119492153.0,123589254.0,125424272.0,136865760.0,138188672.0,149848195.0,157439066.0,160886197.0,167078272.0,166135507.0,173472604.0,176229016.0,183966821.0,187642819.0,186161773.0,184755836.0,184661387.0,196024365.0,201518855.0,202476735.0,193145119.0,205508794.0,212548656.0,208950734.0,217218278.0,223599208.0,225533296.0,233943254.0,217289274.0,224680048.0,222566740.0,233721905.0,248569191.0,251329495.0,257263554.0,269914330.0,274589693.0,293261962.0,292762598.0,299741137.0,318541119.0,325130112.0,345498682.0,343806141.0,331194790.0,360895707.0,397944322.0,405453146.0,426256703.0,438330173.0,452763789.0,453392290.0,438779363.0,443605859.0,446192115.0
Eastern Asia,791577776.0,829158749.0,854148327.0,902000005.0,977096665.0,1045219393.0,1054979112.0,1051227796.0,1065201262.0,1136268932.0,1151199830.0,1130069993.0,1263882695.0,1253859029.0,1290378162.0,1278933316.0,1321218800.0,1430144925.0,1452798791.0,1420277750.0,1462792753.0,1580193678.0,1684526993.0,1784453176.0,1743997172.0,1790506091.0,1852525897.0,1843781264.0,1881646713.0,2010091225.0,2030460626.0,2097922034.0,2172592326.0,2193502020.0,2317441417.0,2476191801.0,2505085147.0,2601915461.0,2650456702.0,2696163243.0,2738991347.0,2845035861.0,2778582155.0,2929937225.0,2986423071.0,3036772195.0,3119914334.0,3302839646.0,3306495488.0,3374084580.0,3511696751.0,3610504180.0,3667701400.0,3704441027.0,3833215392.0,3844452579.0,3882576569.0,3911324789.0
Eastern Europe,882970484.0,836492440.0,806182371.0,1038764033.0,930374238.0,1073286617.0,1082782936.0,1157098195.0,1051607171.0,1128372517.0,1103191560.0,1089386208.0,1294651663.0,1174383560.0,1052944604.0,1300729287.0,1216910640.0,1321883423.0,1185142566.0,1105379415.0,1071636617.0,1182771505.0,1206757360.0,1221580751.0,1188205421.0,1258357439.0,1230894238.0,1181805437.0,1267308702.0,1237847395.0,1070594568.0,912592106.0,977493644.0,810227254.0,841742725.0,811482386.0,851305817.0,711714331.0,700170400.0,714934101.0,817059173.0,794245487.0,731899716.0,888584279.0,839448045.0,847669238.0,797102867.0,972779310.0,910933430.0,783705876.0,1043213758.0,921829513.0,1028187107.0,1104328942.0,1041697727.0,1146997369.0,1191014250.0,1156388276.0
Ecuador,21723030.0,21654412.0,23438282.0,28154041.0,29730565.0,29997851.0,26961707.0,30996496.0,26792050.0,25501559.0,24529902.0,22738479.0,22535426.0,25769108.0,27867131.0,24333486.0,28111151.0,25705444.0,24756394.0,26315118.0,25785572.0,23776232.0,21948112.0,23186151.0,23055621.0,24563372.0,25957108.0,26197133.0,27948051.0,28722072.0,28032208.0,26853357.0,28963813.0,30788671.0,30411629.0,32076583.0,33458314.0,36593999.0,36614172.0,33627728.0,36548901.0,35702689.0,38093689.0,40564630.0,40248964.0,40464076.0,44393044.0,47467279.0,48173460.0,50905346.0,47105457.0,46679299.0,43168180.0,51039705.0,58169225.0,49345693.0,49874729.0,46042879.0
Egypt,33310275.0,40554771.0,42343888.0,42074792.0,42087580.0,44033989.0,43520156.0,47872357.0,50881728.0,50849026.0,53024360.0,53864331.0,53979673.0,54035369.0,57252386.0,59485664.0,57344201.0,59665205.0,63284248.0,63600093.0,63993764.0,66518747.0,66551842.0,68117354.0,72737674.0,78442655.0,77474932.0,80222308.0,83116918.0,89341695.0,93028112.0,96575494.0,98894616.0,101628084.0,110160727.0,115534676.0,118292626.0,120249970.0,130702646.0,136208420.0,132514050.0,139745615.0,141938425.0,146378991.0,153638337.0,159074490.0,163943010.0,169093728.0,168562418.0,162557015.0,169682170.0,179895514.0,177956978.0,185512991.0,188512189.0,182295467.0,182668936.0,181495004.0
El Salvador,3362228.0,3869830.0,3892550.0,3986613.0,4802687.0,5079342.0,5118350.0,5112502.0,5108418.0,5604744.0,6605410.0,6983898.0,7605656.0,8570619.0,9344503.0,8881803.0,9784715.0,10483312.0,9951854.0,8369496.0,7509339.0,7459247.0,8938357.0,9925260.0,9960337.0,10128718.0,9544760.0,8540646.0,8255260.0,9217615.0,11194422.0,12639592.0,11047033.0,10358455.0,10518702.0,12935278.0,13280181.0,14010809.0,13817834.0,13363101.0,12906521.0,12084732.0,12051211.0,13682922.0,12247755.0,13420236.0,13499947.0,14674683.0,15337497.0,13641243.0,14933765.0,16927400.0,17931845.0,17074122.0,16368186.0,18108808.0,18027941.0,17416971.0
Equatorial Guinea,251383.0,262687.0,261305.0,280184.0,278765.0,278541.0,277087.0,286824.0,280724.0,288724.0,274045.0,251720.0,248844.0,239109.0,228406.0,227890.0,229139.0,231609.0,232429.0,240498.0,248038.0,254509.0,268578.0,284038.0,286961.0,295631.0,300952.0,301842.0,300222.0,391901.0,397823.0,398826.0,400892.0,402881.0,404031.0,408878.0,400786.0,393473.0,411224.0,424832.0,439934.0,454191.0,470747.0,487192.0,506118.0,524945.0,545530.0,562175.0,577158.0,595234.0,612419.0,628250.0,632243.0,640476.0,678983.0,696116.0,687133.0,702881.0
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591014.0,993204.0,754519.0,626896.0,672538.0,1420128.0,1118338.0,684200.0,879832.0,514266.0,632076.0,649561.0,1174041.0,1184359.0,1345932.0,566242.0,811453.0,823530.0,988619.0,985567.0,973852.0,981426.0,963448.0,987782.0,990916.0,996529.0
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2779156.0,2952523.0,2376288.0,2349804.0,2460698.0,2397752.0,1984478.0,1828608.0,2625027.0,2101816.0,1807132.0,1852856.0,1897566.0,2364409.0,1945824.0,2722581.0,2457260.0,2607003.0,2258117.0,2522683.0,2898815.0,2961279.0,3396001.0,4247616.0,2715795.0,3581517.0,2627470.0
Eswatini,1520828.0,1450966.0,1687920.0,2003090.0,2318083.0,2913189.0,3144291.0,3078879.0,3334745.0,3996810.0,3590809.0,3841142.0,3725576.0,4201859.0,4435725.0,4542888.0,4575104.0,5175551.0,5038218.0,6261421.0,7213748.0,7541169.0,7648629.0,7983003.0,7669976.0,8947837.0,8501009.0,8258891.0,8381035.0,8533271.0,8588101.0,8504932.0,7900947.0,8252461.0,7583111.0,8371175.0,8178919.0,8447787.0,9391274.0,8455164.0,8623352.0,9814982.0,9832097.0,10240629.0,11016162.0,10582607.0,10522500.0,10579866.0,10616992.0,10927993.0,11284488.0,11466275.0,11672688.0,11629630.0,11730135.0,11755204.0,11862776.0,11954719.0
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25132224.0,24466715.0,28603526.0,35349197.0,35323979.0,31315456.0,35032081.0,35700936.0,39720687.0,39026041.0,41278399.0,44008108.0,51201603.0,51607971.0,50559151.0,52959089.0,59267160.0,65262200.0,68434920.0,73775734.0,78575874.0,84878927.0,88249305.0,87885909.0,89081434.0,87839847.0
Ethiopia PDR,14468347.0,14702901.0,14973964.0,15472004.0,15833081.0,16411008.0,16813800.0,16866560.0,17652160.0,18618778.0,19430909.0,19438695.0,17572022.0,17417759.0,16717222.0,18511055.0,18750205.0,18541615.0,22105885.0,25350590.0,23628341.0,23551760.0,27082402.0,23666736.0,21030674.0,22596319.0,24682511.0,25879124.0,25421378.0,27001253.0,26684683.0,24848446.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,1574760192.0,1573534083.0,1578171662.0,1818676840.0,1693789994.0,1852361017.0,1927751916.0,2002215981.0,1873034169.0,1960559988.0,1970540084.0,1950525980.0,2202799189.0,2089657017.0,1938888070.0,2170117529.0,2139298371.0,2279741045.0,2158449128.0,2100789689.0,2076620516.0,2236875571.0,2174785517.0,2323580584.0,2254955305.0,2324257499.0,2297823470.0,2247298452.0,2367801329.0,2323876182.0,2144058449.0,1995382583.0,2040580236.0,1830906603.0,1873564219.0,1939717288.0,2004540070.0,1847970334.0,1863802204.0,1874275155.0,1912622767.0,1945079345.0,1781397819.0,2085353511.0,1968909046.0,1914097961.0,1869321026.0,2099218901.0,2054931219.0,1864486515.0,2174198301.0,1987047248.0,2135417551.0,2296626957.0,2175605234.0,2249882760.0,2357710038.0,2238262152.0
European Union (27),1061392.0,1015848.0,977251.0,1035362.0,865840.0,978967.0,1091038.0,991738.0,1214998.0,1160742.0,1175636.0,1029090.0,1277807.0,1229348.0,1235337.0,1066144.0,950166.0,1172231.0,1314524.0,1194634.0,1144307.0,1221727.0,1122319.0,1279349.0,1418331.0,1482536.0,1396696.0,1445866.0,1390864.0,1580420.0,1510530.0,1491466.0,1359247.0,1502817.0,1438157.0,1808475.0,1838229.0,1786230.0,1816155.0,1658842.0,1718126.0,1757548.0,1807186.0,1926604.0,1783655.0,1742424.0,1854515.0,1733630.0,2118119.0,2046173.0,2079546.0,2107646.0,1948916.0,1890693.0,2015371.0,2047016.0,2051079.0,1931494.0
European Union (28),893765067.0,911555803.0,967254960.0,988032962.0,970059144.0,1003389693.0,1073734592.0,1079785272.0,1036069954.0,1050048860.0,1084745047.0,1117482573.0,1158435716.0,1159153616.0,1131627211.0,1140939479.0,1164156518.0,1224627455.0,1228888764.0,1197424814.0,1251890074.0,1301597548.0,1206206380.0,1371751058.0,1318883641.0,1323682222.0,1310630107.0,1317649457.0,1357417099.0,1332215965.0,1298562873.0,1272166514.0,1341483894.0,1265317765.0,1303527192.0,1398116601.0,1420066811.0,1402277966.0,1410929022.0,1386268565.0,1352287645.0,1383838015.0,1260035622.0,1476105405.0,1366486595.0,1278970087.0,1268717013.0,1360421338.0,1370489192.0,1291323560.0,1371672134.0,1281483169.0,1352380348.0,1469674257.0,1371519393.0,1370856006.0,1462455715.0,1365010087.0
Faroe Islands,3474.0,3302.0,3712.0,3058.0,2858.0,3228.0,2856.0,2966.0,2454.0,3272.0,2602.0,2352.0,2116.0,2130.0,2012.0,2710.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2660.0,2700.0,2800.0,2800.0,2800.0,2800.0,2800.0,2900.0,2958.0,3036.0,3016.0,3026.0,3028.0,3024.0,3016.0,3004.0,2988.0,2970.0,2950.0,2924.0,2904.0,2886.0,2870.0,2856.0,2800.0,2848.0,2856.0,2830.0,2914.0,3000.0,3200.0,3356.0,2968.0,2962.0,2952.0,2944.0
